iter	Passed	Remaining
165	4193	21066
166	4213	21016
167	4231	20955
168	4249	20894
169	4267	20834
170	4283	20766
171	4301	20708
172	4321	20659
173	4340	20602
174	4357	20541
175	4377	20494
176	4395	20439
177	4413	20380
178	4432	20330
179	4450	20276
180	4467	20215
181	4485	20157
182	4503	20105
183	4521	20051
184	4540	20002
185	4558	19948
186	4586	19940
187	4612	19920
188	4633	19883
189	4655	19845
190	4680	19824
191	4704	19797
192	4729	19777
193	4750	19735
194	4774	19709
195	4796	19675
196	4819	19645
197	4843	19620
198	4866	19588
199	4891	19567
200	4913	19530
201	4932	19486
202	4951	19442
203	4978	19426
204	4998	19382
205	5016	19337
206	5037	19299
207	5059	19263
208	5077	19216
209	5097	19175
210	5118	19140
211	5137	19095
212	5155	19050
213	5175	19007
214	5193	18962
215	5210	18912
216	5228	18864
217	5245	18816
218	5264	18774
219	5282	18730
220	5300	18685
221	5319	18641
222	5337	18596
223	5355	18552
224	5377	18523
225	5396	18480
226	5412	18431
227	5428	18381
228	5446	18335
229	5462	18288
230	5479	18241
231	5500	18209
232	5519	18170
233	5535	18121
234	5554	18082
235	5577	18057
236	5600	18028
237	5619	17992
238	5641	17962
239	5670	17955
240	5691	17923
241	5717	17910
242	5739	17878
243	5766	17865
244	5797	17867
245	5820	17838
246	5844	17818
247	5866	17789
248	5890	17767
249	5920	17760
250	5945	17741
251	5964	17704
252	5983	17666
253	6002	17630
254	6027	17608
255	6046	17574
256	6068	17543
257	6088	17509
258	6110	17483
259	6130	17449
260	6148	17409
261	6168	17375
262	6195	17362
263	6224	17353
264	6243	17316
265	6260	17276
266	6280	17241
267	6300	17208
268	6322	17180
269	6341	17146
270	6360	17109
271	6378	17071
272	6397	17037
273	6416	17001
274	6433	16960
275	6452	16926
276	6470	16888
277	6488	16850
278	6506	16814
279	6524	16777
280	6544	16745
281	6568	16723
282	6595	16708
283	6614	16676
284	6634	16644
285	6656	16617
286	6679	16595
287	6705	16576
288	6726	16548
289	6756	16541
290	6779	16516
291	6806	16503
292	6828	16478
293	6854	16461
294	6878	16438
295	6905	16422
296	6927	16396
297	6952	16377
298	6976	16355
299	6999	16332
300	7020	16303
301	7042	16275
302	7065	16251
303	7084	16220
304	7104	16189
305	7123	16155
306	7144	16126
307	7163	16095
308	7184	16065
309	7204	16035
310	7223	16003
311	7242	15970
312	7264	15944
313	7284	15914
314	7305	15886
315	7324	15853
316	7347	15830
317	7367	15801
318	7388	15772
319	7411	15750
320	7433	15723
321	7453	15694
322	7472	15661
323	7492	15632
324	7511	15600
325	7532	15573
326	7557	15553
327	7582	15535
328	7610	15521
329	7633	15497
330	7666	15494
331	7706	15505
332	7733	15490
333	7761	15476
334	7784	15453
335	7812	15438
336	7867	15477
337	7904	15482
338	7951	15505
339	7985	15501
340	8007	15474
341	8029	15447
342	8048	15417
343	8067	15383
344	8096	15371
345	8119	15347
346	8146	15331
347	8174	15316
348	8202	15301
349	8227	15279
350	8245	15246
351	8263	15212
352	8289	15193
353	8308	15161
354	8328	15131
355	8347	15100
356	8366	15069
357	8385	15038
358	8408	15013
359	8440	15005
360	8470	14993
361	8495	14972
362	8522	14954
363	8547	14935
364	8568	14906
365	8588	14877
366	8607	14846
367	8628	14818
368	8652	14795
369	8672	14767
370	8695	14743
371	8725	14729
372	8769	14741
373	8804	14736
374	8843	14738
375	8881	14738
376	8903	14714
377	8933	14700
378	8985	14722
379	9027	14728
380	9054	14711
381	9086	14700
382	9114	14683
383	9147	14674
384	9168	14646
385	9187	14614
386	9204	14579
387	9223	14547
388	9241	14516
389	9262	14486
390	9283	14459
391	9299	14423
392	9325	14404
393	9352	14384
394	9380	14367
395	9407	14348
396	9433	14328
397	9462	14311
398	9480	14280
399	9497	14246
400	9516	14216
401	9535	14184
402	9561	14164
403	9580	14134
404	9599	14102
405	9618	14072
406	9642	14049
407	9668	14028
408	9698	14013
409	9728	13999
410	9776	14011
411	9806	13995
412	9829	13970
413	9853	13946
414	9878	13925
415	9900	13898
416	9929	13881
417	9964	13873
418	10000	13866
419	10026	13846
420	10060	13836
421	10087	13816
422	10115	13797
423	10143	13780
424	10173	13763
425	10195	13737
426	10214	13707
427	10235	13679
428	10257	13652
429	10277	13623
430	10298	13596
431	10319	13568
432	10340	13540
433	10360	13510
434	10383	13486
435	10404	13459
436	10425	13431
437	10445	13403
438	10467	13376
439	10487	13347
440	10510	13323
441	10536	13302
442	10569	13289
443	10596	13269
444	10623	13250
445	10657	13237
446	10682	13215
447	10702	13186
448	10721	13157
449	10741	13128
450	10776	13117
451	10802	13097
452	10831	13079
453	10855	13055
454	10877	13029
455	10903	13008
456	10966	13030
457	11031	13055
458	11100	13083
459	11141	13079
460	11167	13056
461	11200	13042
462	11222	13016
463	11246	12991
464	11266	12962
465	11288	12935
466	11309	12908
467	11332	12882
468	11353	12854
469	11374	12826
470	11395	12798
471	11414	12768
472	11434	12739
473	11457	12713
474	11475	12683
475	11496	12655
476	11516	12627
477	11535	12597
478	11558	12572
479	11578	12542
480	11605	12522
481	11627	12495
482	11651	12471
483	11684	12456
484	11717	12441
485	11747	12424
486	11776	12404
487	11797	12378
488	11818	12350
489	11841	12325
490	11863	12297
491	11888	12274
492	11913	12251
493	11942	12232
494	11968	12210
495	11993	12187
496	12025	12170
497	12045	12142
498	12065	12114
499	12085	12085
500	12105	12057
501	12128	12031
502	12150	12005
503	12169	11976
504	12187	11946
505	12210	11920
506	12240	11902
507	12268	11881
508	12291	11856
509	12318	11835
510	12347	11815
511	12372	11792
512	12392	11764
513	12413	11737
514	12438	11714
515	12457	11684
516	12476	11655
517	12500	11632
518	12520	11603
519	12540	11575
520	12562	11549
521	12582	11521
522	12603	11495
523	12623	11467
524	12643	11439
525	12665	11413
526	12684	11385
527	12706	11358
528	12729	11333
529	12748	11305
530	12767	11276
531	12787	11248
532	12805	11220
533	12832	11198
534	12853	11171
535	12872	11143
536	12892	11116
537	12913	11089
538	12932	11061
539	12952	11033
540	12971	11005
541	12995	10981
542	13015	10953
543	13035	10926
544	13054	10898
545	13077	10873
546	13097	10846
547	13117	10819
548	13138	10792
549	13157	10764
550	13179	10739
551	13198	10712
552	13218	10684
553	13242	10661
554	13262	10633
555	13282	10606
556	13306	10583
557	13329	10558
558	13350	10532
559	13370	10505
560	13390	10478
561	13411	10452
562	13430	10425
563	13451	10398
564	13473	10373
565	13493	10346
566	13512	10318
567	13534	10293
568	13554	10267
569	13574	10240
570	13595	10214
571	13614	10187
572	13636	10162
573	13656	10135
574	13678	10110
575	13697	10082
576	13718	10057
577	13738	10030
578	13757	10003
579	13780	9979
580	13802	9953
581	13821	9926
582	13843	9901
583	13870	9880
584	13887	9851
585	13909	9826
586	13932	9802
587	13949	9774
588	13968	9747
589	13987	9720
590	14005	9692
591	14024	9665
592	14041	9637
593	14057	9608
594	14083	9586
595	14101	9558
596	14118	9530
597	14136	9502
598	14151	9473
599	14169	9446
600	14187	9419
601	14207	9393
602	14226	9366
603	14244	9338
604	14262	9312
605	14281	9285
606	14298	9257
607	14317	9230
608	14337	9205
609	14354	9177
610	14373	9150
611	14394	9125
612	14414	9100
613	14432	9073
614	14450	9046
615	14477	9024
616	14499	9000
617	14519	8974
618	14539	8948
619	14559	8923
620	14580	8898
621	14600	8872
622	14621	8847
623	14643	8823
624	14665	8799
625	14692	8777
626	14715	8754
627	14736	8729
628	14758	8704
629	14782	8681
630	14806	8658
631	14828	8634
632	14858	8614
633	14886	8593
634	14911	8571
635	14937	8548
636	14957	8523
637	14979	8499
638	15006	8477
639	15030	8454
640	15050	8429
641	15075	8406
642	15103	8385
643	15129	8363
644	15151	8338
645	15174	8315
646	15200	8293
647	15224	8270
648	15248	8247
649	15273	8224
650	15305	8205
651	15327	8180
652	15350	8157
653	15372	8132
654	15395	8108
655	15424	8088
656	15447	8064
657	15472	8041
658	15492	8016
659	15520	7995
660	15542	7971
661	15569	7949
662	15591	7924
663	15611	7899
664	15630	7873
665	15648	7847
666	15673	7824
667	15698	7802
668	15716	7776
669	15735	7750
670	15755	7725
671	15776	7700
672	15798	7676
673	15824	7654
674	15847	7630
675	15866	7604
676	15886	7579
677	15906	7554
678	15928	7530
679	15947	7504
680	15965	7478
681	15983	7452
682	16002	7427
683	16023	7402
684	16042	7377
685	16059	7350
686	16078	7325
687	16102	7302
688	16124	7278
689	16145	7253
690	16163	7227
691	16180	7201
692	16198	7175
693	16217	7150
694	16234	7124
695	16256	7100
696	16274	7074
697	16296	7050
698	16319	7027
699	16340	7003
700	16364	6979
701	16386	6955
702	16409	6932
703	16428	6907
704	16454	6885
705	16478	6862
706	16512	6843
707	16552	6826
708	16575	6803
709	16600	6780
710	16621	6756
711	16645	6732
712	16669	6709
713	16693	6686
714	16716	6663
715	16738	6639
716	16761	6615
717	16786	6593
718	16808	6569
719	16828	6544
720	16849	6520
721	16870	6495
722	16889	6470
723	16909	6446
724	16925	6420
725	16949	6396
726	16972	6373
727	16992	6348
728	17013	6324
729	17031	6299
730	17052	6274
731	17070	6249
732	17091	6225
733	17112	6201
734	17131	6176
735	17150	6151
736	17168	6126
737	17186	6101
738	17206	6076
739	17223	6051
740	17241	6026
741	17262	6002
742	17281	5977
743	17299	5952
744	17316	5927
745	17335	5902
746	17359	5879
747	17378	5854
748	17397	5830
749	17413	5804
750	17432	5779
751	17450	5754
752	17469	5730
753	17492	5707
754	17508	5681
755	17529	5657
756	17557	5635
757	17580	5612
758	17601	5588
759	17620	5564
760	17640	5540
761	17661	5516
762	17680	5491
763	17702	5468
764	17718	5443
765	17741	5419
766	17765	5396
767	17783	5372
768	17805	5348
769	17826	5324
770	17845	5300
771	17867	5276
772	17890	5253
773	17907	5228
774	17926	5204
775	17944	5179
776	17962	5155
777	17980	5130
778	17998	5106
779	18013	5080
780	18030	5056
781	18047	5031
782	18065	5006
783	18083	4982
784	18101	4957
785	18117	4932
786	18137	4908
787	18160	4885
788	18185	4863
789	18203	4838
790	18225	4815
791	18245	4791
792	18266	4768
793	18286	4744
794	18306	4720
795	18326	4696
796	18345	4672
797	18368	4649
798	18389	4626
799	18408	4602
800	18434	4579
801	18454	4556
802	18474	4532
803	18494	4508
804	18517	4485
805	18539	4462
806	18559	4438
807	18586	4416
808	18615	4395
809	18643	4373
810	18673	4351
811	18702	4330
812	18730	4308
813	18761	4287
814	18801	4267
815	18835	4247
816	18863	4225
817	18886	4202
818	18914	4180
819	18935	4156
820	18957	4133
821	18987	4111
822	19005	4087
823	19027	4064
824	19049	4040
825	19073	4017
826	19094	3994
827	19114	3970
828	19136	3947
829	19160	3924
830	19188	3902
831	19208	3878
832	19228	3854
833	19246	3830
834	19265	3806
835	19285	3783
836	19304	3759
837	19323	3735
838	19342	3711
839	19370	3689
840	19389	3665
841	19412	3642
842	19438	3620
843	19458	3596
844	19480	3573
845	19499	3549
846	19522	3526
847	19540	3502
848	19560	3478
849	19579	3455
850	19598	3431
851	19627	3409
852	19656	3387
853	19681	3364
854	19706	3342
855	19738	3320
856	19766	3298
857	19793	3275
858	19819	3253
859	19841	3229
860	19866	3207
861	19898	3185
862	19924	3163
863	19951	3140
864	19975	3117
865	19997	3094
866	20020	3071
867	20041	3047
868	20066	3024
869	20086	3001
870	20107	2977
871	20131	2955
872	20152	2931
873	20176	2908
874	20200	2885
875	20221	2862
876	20242	2838
877	20263	2815
878	20284	2792
879	20304	2768
880	20328	2745
881	20348	2722
882	20367	2698
883	20384	2674
884	20405	2651
885	20426	2628
886	20446	2604
887	20465	2581
888	20482	2557
889	20502	2534
890	20529	2511
891	20544	2487
892	20559	2463
893	20573	2439
894	20593	2415
895	20609	2392
896	20624	2368
897	20641	2344
898	20656	2320
899	20672	2296
900	20692	2273
901	20715	2250
902	20737	2227
903	20755	2204
904	20778	2181
905	20798	2157
906	20817	2134
907	20839	2111
908	20860	2088
909	20878	2064
910	20899	2041
911	20918	2018
912	20937	1995
913	20958	1972
914	20979	1948
915	20999	1925
916	21017	1902
917	21036	1879
918	21054	1855
919	21072	1832
920	21089	1809
921	21108	1785
922	21128	1762
923	21147	1739
924	21166	1716
925	21186	1693
926	21204	1669
927	21223	1646
928	21240	1623
929	21258	1600
930	21274	1576
931	21290	1553
932	21306	1530
933	21323	1506
934	21340	1483
935	21357	1460
936	21373	1437
937	21396	1414
938	21413	1391
939	21430	1367
940	21448	1344
941	21466	1321
942	21484	1298
943	21504	1275
944	21522	1252
945	21541	1229
946	21558	1206
947	21576	1183
948	21596	1160
949	21614	1137
950	21631	1114
951	21646	1091
952	21661	1068
953	21674	1045
954	21689	1022
955	21709	999
956	21727	976
957	21747	953
958	21768	930
959	21792	908
960	21814	885
961	21837	862
962	21856	839
963	21879	817
964	21900	794
965	21923	771
966	21946	748
967	21968	726
968	21987	703
969	22006	680
970	22024	657
971	22043	634
972	22061	612
973	22079	589
974	22096	566
975	22114	543
976	22131	521
977	22149	498
978	22166	475
979	22187	452
980	22206	430
981	22225	407
982	22244	384
983	22262	361
984	22278	339
985	22297	316
986	22315	293
987	22333	271
988	22349	248
989	22364	225
990	22381	203
991	22396	180
992	22412	157
993	22427	135
994	22442	112
995	22457	90
996	22473	67
997	22490	45
998	22506	22
999	22522	0
